Bamako,Bissau,830
Bamako,Yamoussoukro,713
Bamako,Nairobi,5182
Bamako,Maseru,6022
Bamako,Monrovia,770
Bamako,Tripoli,3114
Bamako,Antananarivo,7024
Bamako,Lilongwe,5473
Nouakchott,Algiers,2787
Nouakchott,Luanda,4387
Nouakchott,Porto-Novo,2391
Nouakchott,Gaborone,6571
Nouakchott,Ouagadougou,1675
Nouakchott,Bujumbura,5511
Nouakchott,Yaoundé,3384
Nouakchott,Praia,876
Nouakchott,Bangui,4052
Nouakchott,N'Djamena,3391
Nouakchott,Moroni,7294
Nouakchott,Kinshasa,4240
Nouakchott,Djibouti,6372
Nouakchott,Cairo,4939
Nouakchott,Malabo,3131
Nouakchott,Asmara,5835
Nouakchott,Addis Ababa,5981
Nouakchott,Libreville,3405
Nouakchott,Banjul,520
Nouakchott,Accra,2208
Nouakchott,Conakry,983
Nouakchott,Bissau,694
Nouakchott,Yamoussoukro,1707
Nouakchott,Nairobi,6162
Nouakchott,Maseru,7037
Nouakchott,Monrovia,1426
Nouakchott,Tripoli,3341
Nouakchott,Antananarivo,8064
Nouakchott,Lilongwe,6517
Nouakchott,Bamako,1047
Port Louis,Algiers,8522
Port Louis,Luanda,4912
Port Louis,Porto-Novo,6692
Port Louis,Gaborone,3278
Port Louis,Ouagadougou,7400
Port Louis,Bujumbura,3575
Port Louis,Yaoundé,5685
Port Louis,Praia,9670
Port Louis,Bangui,5052
Port Louis,N'Djamena,5869
Port Louis,Moroni,1788
Port Louis,Kinshasa,4891
Port Louis,Djibouti,3864
Port Louis,Cairo,6251
Port Louis,Malabo,5944
Port Louis,Asmara,4438
Port Louis,Addis Ababa,3839
Port Louis,Libreville,5705
Port Louis,Banjul,8917
Port Louis,Accra,6920
Port Louis,Conakry,8453
Port Louis,Bissau,8749
Port Louis,Yamoussoukro,7487
Port Louis,Nairobi,3076
Port Louis,Maseru,3187
Port Louis,Monrovia,8018
Port Louis,Tripoli,7545
Port Louis,Antananarivo,1053
Port Louis,Lilongwe,2610
Port Louis,Bamako,8037
Port Louis,Nouakchott,9069
Mamoutzou,Algiers,7058
Mamoutzou,Luanda,3520
Mamoutzou,Porto-Novo,5175
Mamoutzou,Gaborone,2420
Mamoutzou,Ouagadougou,5866
Mamoutzou,Bujumbura,2034
Mamoutzou,Yaoundé,4158
Mamoutzou,Praia,8168
Mamoutzou,Bangui,3510
Mamoutzou,N'Djamena,4330
Mamoutzou,Moroni,245
Mamoutzou,Kinshasa,3418
Mamoutzou,Djibouti,2720
Mamoutzou,Cairo,4993
Mamoutzou,Malabo,4425
Mamoutzou,Asmara,3202
Mamoutzou,Addis Ababa,2528
Mamoutzou,Libreville,4208
Mamoutzou,Banjul,7409
Mamoutzou,Accra,5417
Mamoutzou,Conakry,6962
Mamoutzou,Bissau,7248
Mamoutzou,Yamoussoukro,5991
Mamoutzou,Nairobi,1579
Mamoutzou,Maseru,2596
Mamoutzou,Monrovia,6543
Mamoutzou,Tripoli,6111
Mamoutzou,Antananarivo,725
Mamoutzou,Lilongwe,1244
Mamoutzou,Bamako,6515
Mamoutzou,Nouakchott,7540
Mamoutzou,Port Louis,1543
Rabat,Algiers,945
Rabat,Luanda,5214
Rabat,Porto-Novo,3209
Rabat,Gaborone,7383
Rabat,Ouagadougou,2465
Rabat,Bujumbura,5625
Rabat,Yaoundé,3852
Rabat,Praia,2703
Rabat,Bangui,4212
Rabat,N'Djamena,3291
Rabat,Moroni,7335
Rabat,Kinshasa,4854
Rabat,Djibouti,5628
Rabat,Cairo,3596
Rabat,Malabo,3733
Rabat,Asmara,5017
Rabat,Addis Ababa,5409
Rabat,Libreville,4105
